5	4321	3114	304	81	23	0	1	0	0	0	514
0	4492	860	1071	25	17	0	0	1	1	0	2463
2	1747	2626	686	32	17	70	71	160	163	9	2148
5	1456	1588	0	0	10	7	19	3	5	44	2617
0	937	2469	0	45	17	15	9	20	19	2	4906
4	2917	3258	822	6	23	0	3	2	5	1	2780
1	1617	1882	0	81	23	3	1	1	3	1	147
0	2286	2626	686	32	17	70	71	160	163	9	4579
0	1992	1384	0	0	9	0	0	1	0	1	2676
2	30	2724	304	6	23	0	0	0	1	0	991
2	2953	1351	386	21	17	1	3	1	3	0	1655
0	2047	2307	386	36	2	18	12	22	41	0	2132
5	3131	1107	619	61	23	34	32	58	33	19	5000
2	206	3084	0	0	10	0	0	2	4	0	3262
1	1456	3282	777	67	0	7	6	3	5	1	1869
0	2953	2307	386	36	2	18	12	22	41	0	3556
4	1974	2626	686	32	17	70	71	160	163	9	3069
1	1974	1715	0	0	23	18	9	8	5	8	2617
0	343	179	301	6	17	3	4	4	3	1	2938
2	2825	2446	52	28	17	0	1	0	1	0	2858
5	4393	1128	1104	33	23	0	4	1	2	0	290
2	4496	2639	33	0	10	2	1	1	1	0	176
2	4347	945	865	63	17	40	29	69	76	7	2760
0	2191	638	0	6	10	3	3	3	1	1	4633
1	3693	982	752	7	10	1	0	0	0	0	3069
5	1456	3218	1034	68	17	3	7	11	2	3	1923
2	761	945	865	63	17	40	29	69	76	7	4519
0	1617	1143	826	81	23	0	0	2	0	2	4567
5	335	1257	121	63	4	0	1	1	0	0	2132
2	3872	2023	606	41	23	0	0	0	1	1	3888
4	1753	945	865	63	17	40	29	69	76	7	2132
1	2997	3015	809	58	23	1	0	0	0	0	861
5	2102	1962	1235	37	23	1	1	0	0	0	3503
2	3243	2945	497	45	23	28	23	38	34	7	2409
2	1229	1869	1012	72	23	3	4	2	3	1	2563
4	2630	1578	994	81	23	36	33	15	19	8	1839
4	1370	271	747	81	17	1	0	4	1	0	2080
4	4335	3213	0	0	10	0	0	0	0	0	2174
3	3363	1679	0	0	10	0	0	0	0	1	1444
4	492	3117	386	82	23	2	1	1	4	0	2226
5	559	522	386	45	23	33	24	32	35	5	3270
0	341	682	0	0	23	0	1	1	0	0	4379
3	404	1715	0	0	23	18	9	8	5	8	2617
3	1048	3053	192	0	10	6	6	4	6	1	3836
5	1497	2202	78	81	23	1	1	1	3	0	2388
0	3872	2307	386	36	2	18	12	22	41	0	4993
3	1718	25	0	0	10	11	43	8	5	105	656
5	1791	633	709	74	23	13	22	11	4	2	4302
3	2439	1805	0	0	23	0	0	0	0	1	4046
4	4016	1588	0	0	10	7	19	3	5	44	1849
1	583	1374	497	81	23	30	30	42	23	18	2481
1	2917	2673	0	0	23	11	5	7	2	5	4976
5	478	1988	764	25	23	1	10	3	2	1	3973
4	1992	2113	497	63	17	1	0	0	1	0	1496
1	1064	698	836	81	23	1	2	2	0	1	1835
0	1922	1726	113	76	17	0	0	2	0	0	2556
0	2247	54	1285	76	10	0	0	1	0	0	4513
1	2247	2583	1184	63	23	63	114	51	37	61	4290
5	2953	1522	1011	52	23	31	39	31	37	8	881
2	120	1937	0	81	17	0	0	0	1	0	3
5	20	2392	0	32	17	0	2	1	4	0	3283
2	354	721	218	63	23	9	11	10	7	3	2696
4	2262	1309	994	22	23	1	0	0	0	0	4290
2	3784	185	0	81	10	1	0	0	1	0	2155
5	1735	2219	1307	58	15	0	3	0	0	3	1282
3	1930	2950	339	81	17	1	0	1	0	1	1979
4	1129	1107	619	61	23	34	32	58	33	19	3858
5	1761	2583	1184	63	23	63	114	51	37	61	1569
1	1380	1899	0	76	23	1	0	0	0	0	2595
1	1039	2945	497	45	23	28	23	38	34	7	1470
4	1992	903	497	25	17	12	6	2	2	3	3973
1	443	1107	619	61	23	34	32	58	33	19	3503
2	1904	399	1198	52	17	0	0	0	1	0	4409
2	492	1504	315	0	10	0	0	0	1	0	1940
2	3716	2626	686	32	17	70	71	160	163	9	3528
4	4262	3282	777	67	0	7	6	3	5	1	4492
5	506	2349	287	63	17	0	0	1	0	0	4529
1	1763	801	0	0	10	1	0	0	0	0	411
5	1460	2653	0	0	23	10	6	6	6	4	1697
0	2175	172	1341	45	17	1	0	1	0	0	4875
4	1016	1122	994	82	17	3	0	4	2	0	2617
0	1281	975	402	6	17	0	0	1	0	0	1553
5	3604	8	0	0	10	0	1	0	0	0	1757
5	1756	979	0	81	23	2	5	2	8	0	1869
4	1974	2477	0	45	17	0	0	1	0	0	1671
0	1456	423	692	81	17	2	3	5	7	3	3657
2	4259	1854	734	25	23	0	1	4	3	0	4591
2	2752	1768	1011	21	17	0	4	2	8	0	4173
1	1258	3010	1011	8	17	11	10	21	16	4	1200
5	2782	257	377	81	10	0	1	0	0	0	3254
5	2247	1522	1011	52	23	31	39	31	37	8	4065
4	2405	1374	497	81	23	30	30	42	23	18	4280
2	1456	1129	0	76	23	0	0	0	1	0	166
0	4363	1107	619	61	23	34	32	58	33	19	2389
1	804	1107	619	61	23	34	32	58	33	19	2584
1	2419	2447	0	45	17	5	4	4	5	3	4700
4	1877	577	541	25	16	0	0	0	1	0	4078
2	2917	76	450	45	23	2	3	4	3	0	1152
4	4090	2715	1322	7	10	1	0	0	0	0	2014
2	2581	1859	0	0	10	0	0	0	1	0	2143
5	4090	299	0	0	10	1	1	0	0	0	2362
3	1807	2231	0	0	10	0	0	0	0	1	1553
2	3927	562	500	66	17	2	2	3	1	0	2563
2	3275	2017	135	66	23	7	6	5	7	0	2550
5	2125	2583	1184	63	23	63	114	51	37	61	4408
4	4321	2626	686	32	17	70	71	160	163	9	384
0	1677	2930	1040	58	17	0	0	4	0	0	1859
4	3741	1374	497	81	23	30	30	42	23	18	4156
0	1992	2352	1308	76	17	0	0	2	1	0	4243
5	1942	903	497	25	17	12	6	2	2	3	3973
2	2456	200	388	6	23	26	41	32	40	11	1655
0	1139	1147	0	6	23	14	6	10	10	1	3766
0	3921	3039	756	7	17	0	1	4	7	0	3047
1	1992	708	8	6	23	19	6	16	14	2	3952
4	937	2626	686	32	17	70	71	160	163	9	4316
2	2928	1778	0	45	23	2	1	4	4	0	676
2	1833	2954	279	6	17	1	2	2	3	0	1126
3	1617	1588	0	0	10	7	19	3	5	44	1866
3	354	3010	1011	8	17	11	10	21	16	4	3146
5	4034	1578	994	81	23	36	33	15	19	8	1048
2	3492	945	865	63	17	40	29	69	76	7	117
2	775	2081	118	57	17	1	0	1	3	1	1655
4	3631	246	590	81	17	0	0	0	1	0	152
2	2917	2653	0	0	23	10	6	6	6	4	4379
2	2796	2987	703	14	23	1	0	0	1	0	4318
4	354	806	0	45	17	1	2	2	4	0	1961
2	1200	945	865	63	17	40	29	69	76	7	4650
5	3682	1588	0	0	10	7	19	3	5	44	641
3	2300	2059	0	0	10	1	2	0	0	3	76
0	1823	2835	478	0	10	1	4	3	3	0	2637
